"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"939.","SUNDA ENERGY PLC","05098776","06100","31/12/2024","","12","32","SNDA","Extraction of crude petroleum","GB00B01QGH57","-2199","-2162","-2049","-274","-13","","","","-13","","-13","","-326","-16","","-278","","-32","-613","4240","4248","-274","9940","9327","-8","","","-8","","-8","","","","","","","","","","-8","9319","6378","","","","2941","40242","","-38434","1133","n.a.","9319","-1677","","","-1872","","","","","2960","-589","",""
"940.","SUNRISE RESOURCES PLC","05363956","08990","30/09/2024","112.05","3","29","SRES","Other mining and quarrying n.e.c.","GB00B075Z681","-659.258","-237.123","-658.806","","-220.954","","-25.954","","","","","-195","-101.933","","","-61.865","-6.915","-33.153","-322.887","-40.649","-32.719","","2122.994","1800.107","","","","","","","","","","","","-24.485","","-24.485","","-24.485","1775.622","49.45","","","","1726.172","5995.112","","-8354.649","4085.709","n.a.","1775.622","-150.728","0.452","","-102.58","","","","","186.505","-66.351","n.s.","n.s."
"941.","SUPERMARKET INCOME REIT PLC","10799126","64306","30/06/2025","113234","15","92","SUPR","Activities of real estate investment trusts","GB00BF345X11","106484","106484","60657","-3630","","","","","","","","","-38614","","","-32766","-5848","","-42244","180740","1708526","-3630","1750770","1708526","-603602","","","","","","","-603602","-1672","","-1672","","","","","-605274","1103252","12462","","","","1090790","500386","","37387","553017","n.a.","1103252","-4384","27098","-871","180466","","","-73820","","-71899","56590","","53.567832983"
"942.","SUPREME PLC","05844527","46499","31/03/2025","231078","483","99","SUP","Wholesale of household goods (other than musical instruments) n.e.c.","GB00BDT89C08","32505","41226","30907","-15461","-86","","-86","","","","","","-27888","-6276","","-13397","-3783","-4432","-43435","39113","57842","47363","134590","91155","","","","","","","","","-12104","","-12104","-2597","-2117","-480","","-14701","76454","11731","","","","64571","7685","","74477","-17591","152","76454","22997","596","552","-27494","","","-5831","","796","-8384","17.840729104","13.375137399"
"943.","SURE VENTURES PLC","10829500","64301","31/03/2025","155.233","","64","SURE","Activities of investment trusts","GB00BYWYZ460","-369.301","-369.301","-403.808","","","","","","","","","","-274.854","","","-114.354","","-160.5","-274.854","-265.5","14475.788","","14750.642","14475.788","-440","","","","","","","-440","-63.746","","-63.746","","","","","-503.746","13972.042","79.479","","","","13892.563","7498.183","-2417.274","8811.654","","n.a.","13972.042","-311.233","","","-512.722","","","","","764.5","-59.455","","n.s."
"944.","SURFACE TRANSFORMS PLC","03769702","32990","31/12/2024","8243","170","29","SCE","Other manufacturing n.e.c.","GB0002892528","-23356","-14969","-23886","-5842","-5214","","","","","","","-5214","-2072","","","-851","-831","-390","-13128","-1905","12289","1077","25451","12323","-193","","","","","","","-193","-1809","-161","-1648","","","","","-2002","10321","13021","","","","-2700","66799","","-69963","464","n.a.","10321","-14427","159","-135","-4302","","","","","13125","-5580","n.s.","n.s."
"945.","SURGICAL INNOVATIONS GROUP PLC","02298163","32500","31/12/2024","11945","88","86","SUN","Manufacture of medical and dental instruments and supplies","GB0004016704","-791","1060","-2050","-1137","-352","-352","","","","","","","-1346","","","-689","-193","-464","-2835","2485","3186","3580","12238","9403","-150","","","","","","","-150","-547","","-547","-165","","-165","","-862","8541","9328","","","","-787","6587","","-8953","1579","n.a.","8541","-74","","","-335","","","","","-626","-1035","8.87400586","-17.161992465"
"946.","SUTTON HARBOUR GROUP PLC","02425189","64209","31/03/2025","9240","30","29","SUH","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB0008659202","-16644","-16295","-18721","-855","-16085","-8690","-7354","","-41","","-41","","-2980","","","-2601","-206","-173","-19920","-13052","47508","4356","67428","47508","-11758","","","-193","","-193","","-11565","-646","-646","","","","","","-12404","35104","16536","","","","18568","16744","","-19030","20854","n.a.","35104","-874","-1483","","947","","","","","1662","252","n.s.","n.s."
"947.","SYMPHONY ENVIRONMENTAL TECHNOLOGIES PLC","03676824","20590","31/12/2024","6591","28","77","SYM","Manufacture of other chemical products n.e.c.","GB0009589168","-1087","-794","-1344","-1082","-3410","-808","","","","","","-2602","-684","","","-507","-119","-58","-5176","-1341","-1058","1730","4800","-376","","","","","","","","","-22","","-22","","","","","-22","-398","2251","","","","-2649","5767","","-8416","","n.a.","-398","-1615","105","","-54","","","","","1447","-117","-12.04673039","-20.391442877"
"948.","SYNCONA LTD","GG55514","64301","31/03/2024","49138","7","n.a.","SYNC","Activities of investment trusts","GG00B8P59C08","22177","22177","22177","","","","","","","","","","-9358","","","","","-9358","-9358","41","1241739","","1251097","1241739","","","","","","","","","","","","-2861","","-2861","","-2861","1238878","767999","","","","470879","","","46328","424551","n.a.","1238878","20473","","","","","","","","-20223","250","","45.132077008"
"949.","SYNECTICS PLC","01740011","70100","30/11/2024","55809","292","95","SNX","Activities of head offices","GB0007156838","4261","5621","4174","-12338","","","","","","","","","-9280","-268","","-6545","-1035","-1432","-21618","16687","20213","14186","65842","44224","","","","","","","","","-1189","","-1189","-1704","-963","-741","","-2893","41331","3559","","","","37772","16043","","12269","9460","n.a.","41331","7481","79","948","-1926","","","-845","","-754","4983","10.07185221","7.479080435"
"950.","SYNTHOMER PLC","00098381","70100","31/12/2024","1986800","4127","89","SYNT","Activities of head offices","GB00BNTVWJ75","-24100","117700","-85500","-261900","-124200","-300","","","","","","-123900","-169000","-17600","","-103100","","-48300","-555100","271000","997800","242100","2537200","1982100","-698600","","","","","","","-698600","-43700","","-43700","-56400","-28900","-27500","-75700","-874400","1107700","1600","","","","1090700","925900","","136700","28100","15400","1107700","39200","-54100","-18100","-62700","","","","","-45400","-141100","5.924099054","-4.303402456"
"951.","SYSGROUP PLC","06172239","63110","31/03/2025","20501","100","97","SYS","Data processing, hosting and related activities","GB00BYT18182","-2349","-252","-2450","-4741","","","","","","","","","-2292","","","-1031","-977","-284","-7033","7083","8026","-1803","37946","30913","-4770","","","","","","","-4770","-1829","","-1829","-583","-288","-295","","-7182","23731","855","","","","22876","19329","","908","2639","n.a.","23731","-145","13","-576","-1060","","","","","8565","6797","-1.229208331","-11.950636554"
"952.","SYSTEM1 GROUP PLC","05940040","73200","31/03/2025","37426","167","99","SYS1","Market research and public opinion polling","GB00B1GVQH21","5267","6643","5303","-2014","","","","","","","","","-5867","-643","","-4064","-634","-526","-7881","12017","12333","4139","21984","14103","","","","","","","","","","","","","","","","n.a.","14103","132","","","","13971","1601","","11797","573","n.a.","14103","6234","","-687","-595","","","-634","","-732","3586","17.749692727","14.169294074"
"953.","TAN DELTA SYSTEMS PLC","06362470","28290","31/12/2024","1215.328","15","86","TAND","Manufacture of other general-purpose machinery n.e.c.","GB00BMV2DK99","-1337.051","-1337.051","-1173.402","-380.324","-28.221","","","","-28.221","","-28.221","","-134.612","","","-74.045","-29.789","-30.778","-543.157","3583.15","3657.073","540.79","4379.08","3835.923","-43.949","","","-43.949","","-43.949","","","","","","","","","","-43.949","3791.974","73.224","","","","3718.75","5426.204","","-1763.448","55.994","n.a.","3791.974","-1544.235","","","-63.477","","","","","136.261","-1471.451","","-96.550231707"
"954.","TANDEM GROUP PLC","00616818","70100","31/12/2024","24619","73","92","TND","Activities of head offices","GB00B460T373","405","723","30","-2511","-2262","","","","","","","-2262","-2435","-1","","","-916","-1518","-7208","6721","22224","8863","34926","27718","-3445","","","","","","","-3445","","","","","","","-358","-3803","23915","1503","","","","22412","729","3860","14631","3192","n.a.","23915","-812","71","62","-86","","","","","1692","927","2.936756164","0.121857102"
"955.","TAP GLOBAL GROUP PLC","05840813","45111","30/06/2024","2646.574","16","28","TAP","Sale of new cars and light motor vehicles","GB00BMVSDN09","-18173.925","-17482.131","-18173.925","-383.008","","","","","","","","","-260.523","","","-226.339","","-34.184","-643.531","300.335","317.505","-383.008","9063.256","8419.725","-900.109","","-900.109","","","","","","-26.328","","-26.328","","","","","-926.437","7493.288","2223.466","","","","5269.822","27685.458","","-22790.534","374.898","n.a.","7493.288","-1706.531","2.811","","-30.374","","","","","-36","-1770.094","n.s.","n.s."
"956.","TARGET HEALTHCARE REIT PLC","11990238","64306","30/06/2025","60582","5","89","THRL","Activities of real estate investment trusts","GB00BJGTLF51","47247","47247","37014","-10463","-91852","","","","","","","-91852","-10277","","","-3218","","-7059","-112592","-68699","873594","-10463","986186","873594","-148439","","","","","","","-148439","-12695","","-12695","","","","","-161134","712460","6202","","","","706258","256633","","139553","310072","n.a.","712460","39734","1367","","-3232","","","-36114","","-1000","755","","61.09735565"
"957.","TATE & LYLE PUBLIC LIMITED COMPANY","00076535","70100","31/03/2025","1736000","3912","92","TATE","Activities of head offices","GB0008754136","106000","270000","88000","-233000","-147000","","","","","","","-147000","-229000","-44000","","-101000","-5000","-79000","-609000","708000","2251000","666000","3731000","3122000","-1093000","","","","","","","-1093000","-74000","","-74000","-239000","-201000","-38000","-128000","-1534000","1588000","139000","","","","1451000","942000","","473000","36000","-2000","1588000","313000","-16000","-112000","-651000","","","-80000","","447000","-99000","15.552995392","5.069124424"
"958.","TATTON ASSET MANAGEMENT PLC","10634323","64205","31/03/2025","45309","113","97","TAM","Activities of financial services holding companies","GB00BYX1P358","20686","21607","21596","-478","-14","","-14","","","","","","-10740","","","-7285","","-3455","-11232","28849","37118","-166","62441","51209","","","","","","","","","-657","","-657","","","","","-657","50552","12110","","","","38480","15614","","52156","-29290","-38","50552","19957","123","-295","-2035","","","-10440","","-29","7281","47.688097288","47.66381955"
"959.","TAVISTOCK INVESTMENTS PLC","05066489","70100","31/03/2025","32628","161","95","TAVI","Activities of head offices","GB00BLNMLS43","11073","15014","6699","-569","-1136","-1136","","","","","","","-5691","-59","","-1476","-167","-3989","-7396","17991","25696","-8","54240","46844","-4183","","","","","","","-4183","-855","","-855","-2566","-1","-2565","","-7604","39240","5602","","","","33638","1828","","37074","-5264","n.a.","39240","-5396","","","7576","","","-405","","1510","3285","46.015692044","20.531445384"
"960.","TAYLOR WIMPEY PLC","00296805","70100","31/12/2024","3401200","4458","92","TW","Activities of head offices","GB0008782301","333900","348200","320300","-413400","","","","","","","","","-844200","-1600","","-263200","-7900","-571500","-1257600","4901200","4996300","5042900","6291300","5033700","-82600","","","","","","","-82600","-378700","-41400","-337300","-145000","","-145000","-22200","-628500","4405200","291300","","","","4113900","777900","","2824100","511900","n.a.","4405200","277600","17900","-102500","45800","","","-339400","","-12900","-113500","10.237563213","9.417264495"
"961.","TBC BANK GROUP PLC","10029943","64205","31/12/2024","742921","12183","88","TBCG","Activities of financial services holding companies","GB00BYT18307","438312","479472","438312","-50208","-2920804","","","","","","","-2920804","-6750066","-348","","-48571","-1827","-6699320","-9721077","-328446","1457745","-48500","11400155","1679078","","","","","","","","","-30647","","-30647","-19327","-14256","-5071","","-49974","1629104","489","","","","1576524","116694","","1500720","-40890","52092","1629104","-833584","529948","-100933","-667862","","","-78067","","924969","-225529","64.538759841","58.998466863"
"962.","TEAM INTERNET GROUP PLC","08576358","63110","31/12/2024","641163","816","89","TIG","Data processing, hosting and related activities","GB00BCCW4X83","6549","69084","-7428","-55747","-240","-240","","","","","","","-82741","-31627","","-38096","-2077","-10941","-138727","5670","17171","-639","383036","244309","-147432","","","","","","","-147432","-6230","-3035","-3195","-16293","-16293","","","-169955","74354","240","","","","74115","","","63813","10303","n.a.","74355","54628","2077","-7428","-36658","","","-7827","","-4952","-160","10.774795177","-1.158519752"
"963.","TECHNOLOGY MINERALS PLC","13446965","64209","30/06/2024","","5","29","TM1","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BP094P47","-3759","-3758","-6642","-1497","-3109","","","","","","","-3109","-27","","","","","-27","-4633","-3281","3805","-1497","23573","18940","-496","","","","","","","-496","-3092","","-3092","","","","","-3588","15352","1609","","","","13730","22285","","-11967","3412","13","15352","-1718","","","-2358","","","","","4077","1","",""
"964.","TEKCAPITAL PLC","08873361","74909","31/12/2024","340.217","6","89","TEK","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00BKXGY798","14707.916","14713.602","15301.482","-84.282","-245.632","","-245.632","","","","","","-126.574","","","-18.245","-8.324","-100.005","-456.488","686.116","55960.372","-84.282","56416.86","55960.372","","","","","","","","","","","","","","","","n.a.","55960.372","912.124","","","","55048.248","25795.029","","29002.657","250.562","n.a.","55960.372","-608.05","-593.567","","-1452.652","","","","","2819.014","164.745","n.s.","n.s."
"965.","TEKMAR GROUP PLC","11383143","64209","30/09/2024","32808","133","29","TGP","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BDFGGK53","-3832","-438","-4540","-6528","-3000","-3000","","","","","","","-11402","-647","","-1358","-554","-8843","-20930","5914","12012","6918","50908","29978","","","","","","","","","-924","","-924","-890","-234","-656","","-1814","28164","1373","","","","26791","72202","","-33029","-12382","n.a.","28164","2590","-69","","-1973","","","","","-815","-267","-1.335040234","-13.838088271"
"966.","TELECOM PLUS PLC","03263464","61900","31/03/2025","1838156","2291","95","TEP","Other telecommunications activities","GB0008794710","115891","138815","105949","-37183","","","","","","","","","-251351","","","-189491","-11548","-50312","-288534","210950","310703","63019","736394","447860","-191717","","","","","","","-191717","-3168","","-3168","-1465","-1465","","","-196350","251510","4042","","","","247468","161491","","102708","-16731","n.a.","251510","71788","-1487","-31250","29134","","","-66437","","19443","21191","7.551861757","5.76387423"
"967.","TEMPLE BAR INVESTMENT TRUST PLC","00214601","64301","31/12/2024","38981","5","92","TMPL","Activities of investment trusts","GB00BMV92D64","36434","36434","35311","","","","","","","","","","-1712","","","-1711","","-1","-1712","10903","891506","","893218","891506","-74781","","","","","","","-74781","","","","","","","","-74781","816725","16719","","","","800006","96040","","15657","688309","n.a.","816725","30678","569","-1488","15875","","","-30817","","-12738","2079","","90.585156871"
"968.","TEMPLETON EMERGING MARKETS INVESTMENT TRUST PUBLIC LIMITED COMPANY","SC118022","64301","31/03/2025","70391","","89","TEM","Activities of investment trusts","GB00BKPG0S09","63305","63305","62605","","","","","","","","","","-84822","","","-487","","-84335","-84822","-899","2001718","8153","2086540","2001718","","","","","","","","","","","","-16276","-16276","","","-16276","1985442","54241","","","","1931201","","","134498","1796703","n.a.","1985442","54838","","-7614","107259","","","-53887","","-170783","-70187","","88.938926851"
"969.","TEN LIFESTYLE GROUP PLC","08259177","64209","31/08/2024","67264","1268","97","TENG","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BF188X60","2076","11178","537","-1370","-4389","","","","","","","-4389","-19695","","","-13710","-2760","-3225","-25454","-3724","1869","2228","49161","23707","-1011","","","","","","","-1011","-4360","","-4360","","","","","-5371","18336","87","","","","18249","32389","","-15798","1658","n.a.","18336","10010","560","-1660","-7019","","","","","-1016","875","16.618101808","0.798346813"
"970.","TERN PLC","05131386","66190","31/12/2024","17.402","6","30","TERN","Other activities auxiliary to financial services, except insurance and pension funding","GB00BFPMV798","-3802.301","-3802.301","-3772.02","-182.462","-161.114","","","","","","","-161.114","-254.041","","","-81.627","-167.95","-4.464","-597.617","-30.496","10709.135","-157.862","11306.752","10709.135","","","","","","","","","","","","","","","","n.a.","10709.135","1406.566","","","","9302.569","35540.884","","-26238.315","","n.a.","10709.135","-1583.482","13.152","","","","","","","1654.978","84.648","","n.s."
"971.","TERTIARY MINERALS PLC","03821411","08990","30/09/2024","162.658","8","31","TYM","Other mining and quarrying n.e.c.","GB0008854563","-551.151","-548.854","-550.934","-32.563","","","","","","","","","-107.783","","","-79.066","-25.134","-3.583","-140.346","725.482","744.21","-32.563","1729.941","1589.595","","","","","","","","","","","","-9.143","","-9.143","","-9.143","1580.452","367.483","","","","1212.969","13760.938","","-15782.63","3234.661","n.a.","1580.452","-427.135","0.217","","-287.217","","","","","1331.035","616.9","n.s.","n.s."
"972.","TESCO PLC","00445790","47110","22/02/2025","69916000","231393","88","TSCO","Retail sale in non-specialised stores with food, beverages or tobacco predominating","GB00BLGZ9862","2711000","4594000","2215000","-7753000","-1868000","","-7000","","","","","-1861000","-4199000","-13000","","-943000","-504000","-2739000","-13820000","-4964000","14414000","-4333000","38890000","25070000","-5089000","","","","","","","-5089000","-7343000","","-7343000","-669000","-503000","-166000","-307000","-13408000","11662000","426000","","","","11240000","5165000","","2935000","3140000","-4000","11662000","4057000","-512000","-366000","-698000","","","-864000","","-2079000","-462000","6.570742033","3.168087419"
"973.","THE ALUMASC GROUP PLC","01767387","70100","30/06/2025","113414","465","99","ALU","Activities of head offices","GB0000280353","13605","17987","12274","-17936","","","","","","","","","-9039","-1198","","-2102","-2783","-2956","-26975","18799","39605","17672","91957","64982","-12200","","","","","","","-12200","-5549","","-5549","-6247","-4450","-1797","","-23996","40986","4517","","","","36469","445","","36628","-604","n.a.","40986","14989","-1289","-2596","-3354","","","-3887","","-3686","177","15.859594054","10.822297071"
"974.","THE ARTISANAL SPIRITS COMPANY PLC","SC490305","11010","31/12/2024","23601","128","86","ART","Distilling, rectifying and blending of spirits","GB00BNXM3P96","-681","1523","-3142","-926","-3032","","","","","","","-3032","-3751","-705","","-812","","-2234","-7709","31213","38702","34140","52293","44584","-25938","","","","","","","-25938","-2920","","-2920","-670","","-670","","-29528","15056","176","","","","14620","15255","","-424","-211","260","15056","-1578","553","5","-996","","","","","3720","1704","6.453116393","-13.312995212"
"975.","THE BANKERS INVESTMENT TRUST PLC","00026351","64301","31/10/2024","38655","","89","BNKR","Activities of investment trusts","GB0000767003","35470","35470","34472","","","","","","","","","","-2315","","","","","-2315","-2315","102569","1557902","","1560217","1557902","-123756","","","","","","","-123756","","","","","","","","-123756","1434146","32878","","","","1401268","159797","","42793","1198678","n.a.","1434146","175113","-4506","-2932","","","","-31996","","-98207","37472","","89.178631484"
"976.","THE BERKELEY GROUP HOLDINGS PLC","05172586","70100","30/04/2025","2486500","2532","97","BKG","Activities of head offices","GB00BLJNXL82","500000","503800","528900","-1549600","","","","","","","","","-286800","","","-203300","-5500","-78000","-1836400","4331400","4835000","3549800","6692800","4856400","-677900","","","","","","","-677900","-465100","","-465100","-153600","","-153600","","-1296600","3559800","6000","","","","3553800","49800","","4439800","-935800","n.a.","3559800","153100","13600","26400","-4000","","","-251800","","-114100","-176800","20.261411623","21.270862658"
"977.","THE BIOTECH GROWTH TRUST PLC","03376377","64301","31/03/2025","1111","","64","BIOG","Activities of investment trusts","GB0000385517","197","197","131","","","","","","","","","","-5423","","","","","-5423","-5423","3047","221206","","226629","221206","","","","","","","","","","","","","","","","n.a.","221206","6778","","","","214428","79951","","118804","15673","n.a.","221206","-4942","","-145","115848","","","","","-104292","6469","","11.791179118"
"978.","THE CHARACTER GROUP PLC","03033333","64209","31/08/2025","100465","212","89","CCT","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB0008976119","1061","3844","-1815","-15930","-708","","","","","","","-708","-14920","-478","","-7799","-1795","-4848","-31558","17866","31344","16477","65218","33660","","","","","","","","","-274","","-274","-294","-294","","","-568","33092","1000","","","","32092","17902","","8407","5783","n.a.","33092","7096","","-329","-2571","","","-2593","","-2205","-602","3.826208132","-1.806599313"
"979.","THE CITY OF LONDON INVESTMENT TRUST PLC","00034871","64301","30/06/2025","112465","","89","CTY","Activities of investment trusts","GB0001990497","109231","109231","107277","","-17367","-17020","-347","","","","","","-5185","","-79","-3330","","-1776","-22552","-8109","2447766","","2470318","2447766","-115727","","","","","","","-115727","","","","","","","","-115727","2332039","125666","125666","","","2206373","1073479","","48694","1084200","n.a.","2332039","","","","","","","","","","","","95.387009292"
"980.","THE CONYGAR INVESTMENT COMPANY PLC","04907617","68100","30/09/2024","5941","119","92","CIC","Buying and selling of own real estate","GB0033698720","-33289","-32661","-33952","-518","-44236","-44236","","","","","","","-4358","","","-3806","-139","-413","-49112","-30474","77675","12758","126787","77675","-11614","","","","","","","-11614","-4941","","-4941","","","","","-16555","61120","2982","","","","58421","","","54493","3928","-283","61120","-10005","-3493","","-26524","","","","","42011","1989","n.s.","n.s."
"981.","THE DIVERSE INCOME TRUST PLC","07584303","64301","31/05/2025","12927","","77","DIVI","Activities of investment trusts","GB00B65TLW28","11640","11640","11640","-574","","","","","","","","","-1730","","","","","-1730","-2304","5738","252217","-574","254521","252217","","","","","","","","","","","","","","","","n.a.","252217","286","","","","251931","","","18154","233777","n.a.","252217","11237","","-134","66271","","","-10165","","-77954","-10745","","90.044093757"
"982.","THE EDINBURGH INVESTMENT TRUST PUBLIC LIMITED COMPANY","SC001836","64999","31/03/2025","40666","","89","EDIN","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0003052338","38007","38007","37123","","","","","","","","","","-693","","","-693","","","-693","15058","1245946","","1246639","1245946","-120000","","","","","","","-120000","","","","","","","","-120000","1125946","48917","48917","","","1077029","10394","","42624","1024011","n.a.","1125946","69516","-2950","","","","","-40983","","-54664","-29081","","91.287562091"
"983.","THE EUROPEAN SMALLER COMPANIES TRUST PLC","02520734","64301","30/06/2025","20702","6","77","ESCT","Activities of investment trusts","GB00BMCF8689","18100","18100","17402","","-8182","-8182","","","","","","","-5182","","","-3853","","-1329","-13364","-6662","510677","","524041","510677","","","","","","","","","","","","","","","","n.a.","510677","4363","","","","506314","120364","","33025","352925","n.a.","510677","220593","-404","-1739","","","","-18898","","-198388","1164","","84.059511158"
"984.","THE GLOBAL SMALLER COMPANIES TRUST PLC","00028264","64999","30/04/2025","17031","6","89","GSCT","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB00BKLXD974","14761","14761","14383","","-16050","-16050","","","","","","","-3043","","","-487","","-2556","-19093","-2918","771815","1016","790908","771815","-35000","","","","","","","-35000","","","","","","","","-35000","736815","15513","","","","721302","212639","","19952","488711","n.a.","736815","11195","320","-920","","82766","","-13536","","-78318","1507","","84.451881862"
"985.","THE GYM GROUP PLC","08528493","64209","31/12/2024","226300","1837","89","GYM","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BZBX0P70","22900","83500","2500","-25200","","","","","","","","","-52400","","","-21900","-2200","-28300","-77600","-65100","135300","-23800","585600","508000","-61300","","","","","","","-61300","-312900","","-312900","-2200","","-2200","","-376400","131600","","","","","131600","189900","","-95300","37000","n.a.","131600","74700","-400","","-40000","","","","","-32800","1500","36.897923111","1.104728237"
"986.","THE HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC","00025526","64301","31/05/2025","23080","","85","HSL","Activities of investment trusts","GB0009065060","21600","21600","20490","","-20133","-20133","","","","","","","-1834","","","-479","","-1355","-21967","-14603","684119","","706086","684119","","","","","","","","","-49795","","-49795","","","","","-49795","634324","18597","","","","615727","","","20136","595591","n.a.","634324","99028","-3859","","","","","-20004","","-83230","-8065","","88.778162912"
"987.","THE LINDSELL TRAIN INVESTMENT TRUST PLC","04119429","64999","31/03/2025","10169","","89","LTI","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0031977944","8655","8655","8655","","","","","","","","","","-209","","","-209","","","-209","4790","190426","","190635","190426","","","","","","","","","","","","","","","","n.a.","190426","150","150","","","190276","","","21571","168705","n.a.","190426","8534","","","325","","","-10300","","","-1441","","85.111613728"
"988.","THE MERCANTILE INVESTMENT TRUST PLC","00020537","64999","31/01/2025","78223","","86","MRC","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0005794036","74196","74196","70024","","-1156","","","","","","","-1156","-9264","","","","","-9264","-10420","50828","2293512","3175","2303932","2293512","-328044","","","","","","","-328044","","","","","","","","-328044","1965468","23612","23612","","","1941856","23459","","1905239","13158","n.a.","1965468","-9371","63267","448","54251","","","-60280","","-80697","-32382","","89.518428084"
"989.","THE MISSION GROUP PUBLIC LIMITED COMPANY","05733632","73110","31/12/2024","158662","1054","89","TMG","Advertising agencies","GB00B11FD453","4824","9375","1942","-11861","-11","-11","","","","","","","-28268","-745","","-4937","-4035","-18551","-40140","17017","20386","11652","154642","114502","-19872","","","","","","","-19872","-15280","","-15280","-397","-397","","","-35549","78953","9224","","","","69568","46081","","22507","980","161","78953","7427","-3228","-823","4842","","","","","-1967","6251","5.908787233","1.223985579"
"990.","THE NORTH AMERICAN INCOME TRUST PLC","SC005218","64301","31/01/2025","21193","","89","NAIT","Activities of investment trusts","GB00BJ00Z303","19565","19565","19222","","","","","","","","","","-5710","","","","","-5710","-5710","3425","508019","","513729","508019","-40184","","","","","","","-40184","","","","","","","","-40184","467835","6346","6346","","","461489","51806","","22655","387028","n.a.","467835","14509","","","28958","","","-15714","","-43884","-16131","","90.699759355"
